Trial,Direction,R,I,I_e,V,V_e
1, A, 0.0325, 2.00, 0.01, 14.2,  0.1
1, A, 0.039,  2.00, 0.01, 18.5,  0.1
1, A, 0.045,  2.00, 0.01, 23.8,  0.1
1, A, 0.0515, 2.00, 0.01, 30.5,  0.1
1, A, 0.0575, 2.00, 0.01, 37.9,  0.1

1, A, 0.0325, 2.50, 0.01, 20.5,  0.1
1, A, 0.039,  2.50, 0.01, 28.3,  0.1
1, A, 0.045,  2.50, 0.01, 37.7,  0.1
1, A, 0.0515, 2.50, 0.01, 48.5,  0.1
1, A, 0.0575, 2.50, 0.01, 60.5,  0.1

1, A, 0.0325, 3.00, 0.01, 28.8,  0.1
1, A, 0.039,  3.00, 0.01, 40.8,  0.1
1, A, 0.045,  3.00, 0.01, 54.6,  0.1
1, A, 0.0515, 3.00, 0.01, 70.9,  0.1
1, A, 0.0575, 3.00, 0.01, 87.3,  0.1

1, A, 0.0325, 3.50, 0.01, 39.9,  0.1
1, A, 0.039,  3.50, 0.01, 56.0,  0.1
1, A, 0.045,  3.50, 0.01, 75.3,  0.1
1, A, 0.0515, 3.50, 0.01, 97.3,  0.1
1, A, 0.0575, 3.50, 0.01, 121.9, 0.1



2, A, 0.0325, 2.00, 0.01, 15.7,  0.1
2, A, 0.039,  2.00, 0.01, 20.3,  0.1
2, A, 0.045,  2.00, 0.01, 26.3,  0.1
2, A, 0.0515, 2.00, 0.01, 33.3,  0.1
2, A, 0.0575, 2.00, 0.01, 40.8,  0.1

2, A, 0.0325, 2.50, 0.01, 24.2,  0.1
2, A, 0.039,  2.50, 0.01, 31.8,  0.1
2, A, 0.045,  2.50, 0.01, 42.9,  0.1
2, A, 0.0515, 2.50, 0.01, 56.3,  0.1
2, A, 0.0575, 2.50, 0.01, 67.7,  0.1

2, A, 0.0325, 3.00, 0.01, 32.5,  0.1
2, A, 0.039,  3.00, 0.01, 44.7,  0.1
2, A, 0.045,  3.00, 0.01, 60.1,  0.1
2, A, 0.0515, 3.00, 0.01, 77.6,  0.1
2, A, 0.0575, 3.00, 0.01, 95.1,  0.1

2, A, 0.0325, 3.50, 0.01, 44.6,  0.1
2, A, 0.039,  3.50, 0.01, 61.3,  0.1
2, A, 0.045,  3.50, 0.01, 83.3,  0.1
2, A, 0.0515, 3.50, 0.01, 107.6, 0.1
2, A, 0.0575, 3.50, 0.01, 132.0, 0.1



3, P, 0.0325, 2.00, 0.01, 18.9,  0.1
3, P, 0.039,  2.00, 0.01, 26.4,  0.1
3, P, 0.045,  2.00, 0.01, 34.9,  0.1
3, P, 0.0515, 2.00, 0.01, 43.9,  0.1
3, P, 0.0575, 2.00, 0.01, 57.0,  0.1

3, P, 0.0325, 2.50, 0.01, 27.6,  0.1
3, P, 0.039,  2.50, 0.01, 39.3,  0.1
3, P, 0.045,  2.50, 0.01, 52.8,  0.1
3, P, 0.0515, 2.50, 0.01, 68.6,  0.1
3, P, 0.0575, 2.50, 0.01, 85.2,  0.1

3, P, 0.0325, 3.00, 0.01, 37.9,  0.1
3, P, 0.039,  3.00, 0.01, 53.3,  0.1
3, P, 0.045,  3.00, 0.01, 70.9,  0.1
3, P, 0.0515, 3.00, 0.01, 94.2,  0.1
3, P, 0.0575, 3.00, 0.01, 120.0, 0.1

3, P, 0.0325, 3.50, 0.01, 49.6,  0.1
3, P, 0.039,  3.50, 0.01, 71.2,  0.1
3, P, 0.045,  3.50, 0.01, 94.7,  0.1
3, P, 0.0515, 3.50, 0.01, 123.2, 0.1
3, P, 0.0575, 3.50, 0.01, 156.8, 0.1



4, A, 0.0325, 2.00, 0.01, 14.3,  0.1
4, A, 0.039,  2.00, 0.01, 18.4,  0.1
4, A, 0.045,  2.00, 0.01, 23.9,  0.1
4, A, 0.0515, 2.00, 0.01, 31.1,  0.1
4, A, 0.0575, 2.00, 0.01, 39.2,  0.1

4, A, 0.0325, 2.50, 0.01, 20.9,  0.1
4, A, 0.039,  2.50, 0.01, 28.8,  0.1
4, A, 0.045,  2.50, 0.01, 38.7,  0.1
4, A, 0.0515, 2.50, 0.01, 50.8,  0.1
4, A, 0.0575, 2.50, 0.01, 63.6,  0.1

4, A, 0.0325, 3.00, 0.01, 29.8,  0.1
4, A, 0.039,  3.00, 0.01, 41.8,  0.1
4, A, 0.045,  3.00, 0.01, 56.1,  0.1
4, A, 0.0515, 3.00, 0.01, 71.1,  0.1
4, A, 0.0575, 3.00, 0.01, 91.1,  0.1

4, A, 0.0325, 3.50, 0.01, 40.8,  0.1
4, A, 0.039,  3.50, 0.01, 58.0,  0.1
4, A, 0.045,  3.50, 0.01, 78.9,  0.1
4, A, 0.0515, 3.50, 0.01, 101.1, 0.1
4, A, 0.0575, 3.50, 0.01, 124.9, 0.1



5, P, 0.0325, 2.00, 0.01, 19.6,  0.1
5, P, 0.039,  2.00, 0.01, 27.0,  0.1
5, P, 0.045,  2.00, 0.01, 36.3,  0.1
5, P, 0.0515, 2.00, 0.01, 47.9,  0.1
5, P, 0.0575, 2.00, 0.01, 57.9,  0.1

5, P, 0.0325, 2.50, 0.01, 28.5,  0.1
5, P, 0.039,  2.50, 0.01, 39.8,  0.1
5, P, 0.045,  2.50, 0.01, 54.0,  0.1
5, P, 0.0515, 2.50, 0.01, 68.9,  0.1
5, P, 0.0575, 2.50, 0.01, 87.8,  0.1

5, P, 0.0325, 3.00, 0.01, 38.9,  0.1
5, P, 0.039,  3.00, 0.01, 54.5,  0.1
5, P, 0.045,  3.00, 0.01, 72.9,  0.1
5, P, 0.0515, 3.00, 0.01, 95.1,  0.1
5, P, 0.0575, 3.00, 0.01, 121.2, 0.1

5, P, 0.0325, 3.50, 0.01, 52.5,  0.1
5, P, 0.039,  3.50, 0.01, 72.6,  0.1
5, P, 0.045,  3.50, 0.01, 97.4,  0.1
5, P, 0.0515, 3.50, 0.01, 126.8, 0.1
5, P, 0.0575, 3.50, 0.01, 162.8, 0.1



6, P, 0.0325, 2.00, 0.01, 19.9,  0.1
6, P, 0.039,  2.00, 0.01, 27.1,  0.1
6, P, 0.045,  2.00, 0.01, 36.5,  0.1
6, P, 0.0515, 2.00, 0.01, 45.5,  0.1
6, P, 0.0575, 2.00, 0.01, 57.5,  0.1

6, P, 0.0325, 2.50, 0.01, 28.8,  0.1
6, P, 0.039,  2.50, 0.01, 39.6,  0.1
6, P, 0.045,  2.50, 0.01, 52.8,  0.1
6, P, 0.0515, 2.50, 0.01, 68.7,  0.1
6, P, 0.0575, 2.50, 0.01, 85.5,  0.1

6, P, 0.0325, 3.00, 0.01, 38.6,  0.1
6, P, 0.039,  3.00, 0.01, 54.4,  0.1
6, P, 0.045,  3.00, 0.01, 73.3,  0.1
6, P, 0.0515, 3.00, 0.01, 96.2,  0.1
6, P, 0.0575, 3.00, 0.01, 122.8, 0.1

6, P, 0.0325, 3.50, 0.01, 51.0,  0.1
6, P, 0.039,  3.50, 0.01, 71.9,  0.1
6, P, 0.045,  3.50, 0.01, 98.3,  0.1
6, P, 0.0515, 3.50, 0.01, 125.7, 0.1
6, P, 0.0575, 3.50, 0.01, 156.0, 0.1



7, P, 0.0325, 2.00, 0.01, 19.9,  0.1
7, P, 0.039,  2.00, 0.01, 26.6,  0.1
7, P, 0.045,  2.00, 0.01, 35.8,  0.1
7, P, 0.0515, 2.00, 0.01, 46.3,  0.1
7, P, 0.0575, 2.00, 0.01, 57.5,  0.1

7, P, 0.0325, 2.50, 0.01, 27.8,  0.1
7, P, 0.039,  2.50, 0.01, 38.1,  0.1
7, P, 0.045,  2.50, 0.01, 52.3,  0.1
7, P, 0.0515, 2.50, 0.01, 68.8,  0.1
7, P, 0.0575, 2.50, 0.01, 85.1,  0.1

7, P, 0.0325, 3.00, 0.01, 38.2,  0.1
7, P, 0.039,  3.00, 0.01, 53.6,  0.1
7, P, 0.045,  3.00, 0.01, 73.8,  0.1
7, P, 0.0515, 3.00, 0.01, 93.2,  0.1
7, P, 0.0575, 3.00, 0.01, 120.2, 0.1

7, P, 0.0325, 3.50, 0.01, 51.7,  0.1
7, P, 0.039,  3.50, 0.01, 71.5,  0.1
7, P, 0.045,  3.50, 0.01, 96.0,  0.1
7, P, 0.0515, 3.50, 0.01, 125.1, 0.1
7, P, 0.0575, 3.50, 0.01, 158.5, 0.1



8, P, 0.0325, 2.00, 0.01, 19.6,  0.1
8, P, 0.039,  2.00, 0.01, 26.2,  0.1
8, P, 0.045,  2.00, 0.01, 34.7,  0.1
8, P, 0.0515, 2.00, 0.01, 46.3,  0.1
8, P, 0.0575, 2.00, 0.01, 56.8,  0.1

8, P, 0.0325, 2.50, 0.01, 27.3,  0.1
8, P, 0.039,  2.50, 0.01, 39.9,  0.1
8, P, 0.045,  2.50, 0.01, 52.8,  0.1
8, P, 0.0515, 2.50, 0.01, 68.2,  0.1
8, P, 0.0575, 2.50, 0.01, 85.6,  0.1

8, P, 0.0325, 3.00, 0.01, 38.6,  0.1
8, P, 0.039,  3.00, 0.01, 54.4,  0.1
8, P, 0.045,  3.00, 0.01, 72.1,  0.1
8, P, 0.0515, 3.00, 0.01, 94.5,  0.1
8, P, 0.0575, 3.00, 0.01, 117.2, 0.1

8, P, 0.0325, 3.50, 0.01, 50.7,  0.1
8, P, 0.039,  3.50, 0.01, 70.5,  0.1
8, P, 0.045,  3.50, 0.01, 96.1,  0.1
8, P, 0.0515, 3.50, 0.01, 125.0, 0.1
8, P, 0.0575, 3.50, 0.01, 155.8, 0.1



9, A, 0.0325, 2.00, 0.01, 14.5,  0.1
9, A, 0.039,  2.00, 0.01, 18.8,  0.1
9, A, 0.045,  2.00, 0.01, 24.1,  0.1
9, A, 0.0515, 2.00, 0.01, 31.2,  0.1
9, A, 0.0575, 2.00, 0.01, 38.5,  0.1

9, A, 0.0325, 2.50, 0.01, 20.5,  0.1
9, A, 0.039,  2.50, 0.01, 28.5,  0.1
9, A, 0.045,  2.50, 0.01, 37.3,  0.1
9, A, 0.0515, 2.50, 0.01, 49.1,  0.1
9, A, 0.0575, 2.50, 0.01, 62.0,  0.1

9, A, 0.0325, 3.00, 0.01, 30.7,  0.1
9, A, 0.039,  3.00, 0.01, 43.5,  0.1
9, A, 0.045,  3.00, 0.01, 57.3,  0.1
9, A, 0.0515, 3.00, 0.01, 74.1,  0.1
9, A, 0.0575, 3.00, 0.01, 91.8,  0.1

9, A, 0.0325, 3.50, 0.01, 41.6,  0.1
9, A, 0.039,  3.50, 0.01, 56.8,  0.1
9, A, 0.045,  3.50, 0.01, 76.9,  0.1
9, A, 0.0515, 3.50, 0.01, 98.4,  0.1
9, A, 0.0575, 3.50, 0.01, 123.9, 0.1



10, A, 0.0325, 2.00, 0.01, 14.5,  0.1
10, A, 0.039,  2.00, 0.01, 18.6,  0.1
10, A, 0.045,  2.00, 0.01, 24.9,  0.1
10, A, 0.0515, 2.00, 0.01, 31.4,  0.1
10, A, 0.0575, 2.00, 0.01, 39.4,  0.1

10, A, 0.0325, 2.50, 0.01, 20.8,  0.1
10, A, 0.039,  2.50, 0.01, 28.9,  0.1
10, A, 0.045,  2.50, 0.01, 38.6,  0.1
10, A, 0.0515, 2.50, 0.01, 49.4,  0.1
10, A, 0.0575, 2.50, 0.01, 64.0,  0.1

10, A, 0.0325, 3.00, 0.01, 29.7,  0.1
10, A, 0.039,  3.00, 0.01, 42.1,  0.1
10, A, 0.045,  3.00, 0.01, 57.1,  0.1
10, A, 0.0515, 3.00, 0.01, 74.1,  0.1
10, A, 0.0575, 3.00, 0.01, 91.8,  0.1

10, A, 0.0325, 3.50, 0.01, 40.9,  0.1
10, A, 0.039,  3.50, 0.01, 57.5,  0.1
10, A, 0.045,  3.50, 0.01, 76.8,  0.1
10, A, 0.0515, 3.50, 0.01, 99.9,  0.1
10, A, 0.0575, 3.50, 0.01, 126.4, 0.1



11, A, 0.0325, 2.00, 0.01, 14.5,  0.1
11, A, 0.039,  2.00, 0.01, 19.6,  0.1
11, A, 0.045,  2.00, 0.01, 25.6,  0.1
11, A, 0.0515, 2.00, 0.01, 31.9,  0.1
11, A, 0.0575, 2.00, 0.01, 40.1,  0.1

11, A, 0.0325, 2.50, 0.01, 20.6,  0.1
11, A, 0.039,  2.50, 0.01, 28.8,  0.1
11, A, 0.045,  2.50, 0.01, 38.6,  0.1
11, A, 0.0515, 2.50, 0.01, 49.3,  0.1
11, A, 0.0575, 2.50, 0.01, 63.6,  0.1

11, A, 0.0325, 3.00, 0.01, 30.0,  0.1
11, A, 0.039,  3.00, 0.01, 42.1,  0.1
11, A, 0.045,  3.00, 0.01, 56.1,  0.1
11, A, 0.0515, 3.00, 0.01, 72.2,  0.1
11, A, 0.0575, 3.00, 0.01, 89.9,  0.1

11, A, 0.0325, 3.50, 0.01, 41.3,  0.1
11, A, 0.039,  3.50, 0.01, 58.8,  0.1
11, A, 0.045,  3.50, 0.01, 77.1,  0.1
11, A, 0.0515, 3.50, 0.01, 100.5, 0.1
11, A, 0.0575, 3.50, 0.01, 122.5, 0.1



12, A, 0.0325, 2.00, 0.01, 14.4,  0.1
12, A, 0.039,  2.00, 0.01, 18.9,  0.1
12, A, 0.045,  2.00, 0.01, 24.2,  0.1
12, A, 0.0515, 2.00, 0.01, 31.2,  0.1
12, A, 0.0575, 2.00, 0.01, 39.4,  0.1

12, A, 0.0325, 2.50, 0.01, 21.2,  0.1
12, A, 0.039,  2.50, 0.01, 29.1,  0.1
12, A, 0.045,  2.50, 0.01, 38.9,  0.1
12, A, 0.0515, 2.50, 0.01, 49.9,  0.1
12, A, 0.0575, 2.50, 0.01, 62.1,  0.1

12, A, 0.0325, 3.00, 0.01, 30.4,  0.1
12, A, 0.039,  3.00, 0.01, 43.1,  0.1
12, A, 0.045,  3.00, 0.01, 57.1,  0.1
12, A, 0.0515, 3.00, 0.01, 74.2,  0.1
12, A, 0.0575, 3.00, 0.01, 91.8,  0.1

12, A, 0.0325, 3.50, 0.01, 41.2,  0.1
12, A, 0.039,  3.50, 0.01, 58.1,  0.1
12, A, 0.045,  3.50, 0.01, 76.7,  0.1
12, A, 0.0515, 3.50, 0.01, 100.2, 0.1
12, A, 0.0575, 3.50, 0.01, 126.2, 0.1