R,I,I_e,V,V_e
0.0325, 2.00, 0.01, 14.2,  0.1
0.039,  2.00, 0.01, 18.5,  0.1
0.045,  2.00, 0.01, 23.8,  0.1
0.0515, 2.00, 0.01, 30.5,  0.1
0.0575, 2.00, 0.01, 37.9,  0.1
0.0325, 2.50, 0.01, 20.5,  0.1
0.039,  2.50, 0.01, 28.3,  0.1
0.045,  2.50, 0.01, 37.7,  0.1
0.0515, 2.50, 0.01, 48.5,  0.1
0.0575, 2.50, 0.01, 60.5,  0.1
0.0325, 3.00, 0.01, 28.8,  0.1
0.039,  3.00, 0.01, 40.8,  0.1
0.045,  3.00, 0.01, 54.6,  0.1
0.0515, 3.00, 0.01, 70.9,  0.1
0.0575, 3.00, 0.01, 87.3,  0.1
0.0325, 3.50, 0.01, 39.9,  0.1
0.039,  3.50, 0.01, 56.0,  0.1
0.045,  3.50, 0.01, 75.3,  0.1
0.0515, 3.50, 0.01, 97.3,  0.1
0.0575, 3.50, 0.01, 121.9, 0.1